Symptoms,Description
weakness of one body side,Reduced strength or control on one side of the body.
loss of smell,Impaired or complete loss of the sense of smell.
bladder discomfort,Discomfort or pain in the bladder region.
foul smell of urine,Unpleasant or offensive odor of urine.
continuous feel of urine,Sensation of needing to urinate frequently or constantly.
passage of gases,Release of gas from the digestive system.
internal itching,An uncomfortable itching sensation inside the body.
toxic look (typhos),Presentation of a sickly or unhealthy appearance.
depression,Feelings of severe despondency and dejection.
irritability,Readiness to be easily annoyed or provoked.
muscle pain,Pain or discomfort in the muscles.
altered sensorium,Changes in consciousness or awareness.
red spots over body,Small red or discolored spots on the body.
belly pain,Pain or discomfort in the abdomen.
lack of concentration,Difficulty in focusing attention or mental effort.
visual disturbances,Impairment or changes in vision.
receiving blood transfusion,Receiving donated blood as part of a medical procedure.
receiving unsterile injections,Receiving injections that were not properly sterilized.
coma,A state of deep unconsciousness.
stomach bleeding,Internal bleeding in the stomach or gastrointestinal tract.
distention of abdomen,Abnormal enlargement or swelling of the abdomen.
history of alcohol consumption,Past or present habit of consuming alcohol.
blood in sputum,Presence of blood in the sputum or phlegm.
prominent veins on calf,Visible or bulging veins on the calf muscles.
palpitations,Awareness or sensation of rapid or irregular heartbeats.
painful walking,Discomfort or pain experienced while walking.
pus filled pimples,Pimples or acne lesions filled with pus.
blackheads,Small dark bumps on the skin caused by clogged hair follicles.
scurring,Scaly or flaky skin.
skin peeling,Shedding or flaking of the outer layer of the skin.
silver like dusting,Presence of silver-like dust particles on the skin.
small dents in nails,Tiny depressions or pits in the nails.
inflammatory nails,Nails exhibiting signs of inflammation or infection.
blister,Small fluid-filled sac or bubble on the skin.
red sore around nose,"Sore, red, or irritated skin around the nose."
yellow crust ooze,Yellow-colored crust or discharge oozing from the skin.
